2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
Community Safety and Correctional Services,Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,,,2017 Expenses.Interim2016–17,0.0
Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,Community Safety and Correctional Services (Total),,,,2017 Expenses.Interim2016–17,2689.0
Education (Total),,Education (Total),,Education (Total),,Education (Total),,2017 Expenses.Interim2016–17,25239.0
"Energy, Northern Development and Mines",Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,,,2017 Expenses.Interim2016–17,21.0
"Energy, Northern Development and Mines",Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,,,2017 Expenses.Interim2016–17,45.0
"Energy, Northern Development and Mines",Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,2017 Expenses.Interim2016–17,400.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,926.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,837.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,926.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,837.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,926.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,837.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,926.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,837.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,926.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,837.0
"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,926.0
Northern Development and Mines (Total),,"Energy, Northern Development and Mines (Total)",,"Energy, Northern Development and Mines (Base)",,"Energy, Northern Development and Mines (Total)",,2017 Expenses.Interim2016–17,837.0
Executive Offices,Time-Limited Assistance,Executive Offices, Time-Limited Assistance,,,Executive Offices, Time-Limited Assistance,2017 Expenses.Interim2016–17,1.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,2017 Expenses.Interim2016–17,46.0
Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,Executive Offices (Total),,2017 Expenses.Interim2016–17,46.0
Finance,Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,Finance, Ontario Municipal Partnership Fund,2017 Expenses.Interim2016–17,505.0
Finance,Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,Finance, Power Supply Contract Costs,2017 Expenses.Interim2016–17,739.0
Finance (Total),,Finance (Total),,Finance (Total),,Finance (Total),,2017 Expenses.Interim2016–17,2146.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,2017 Expenses.Interim2016–17,614.0
Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,Government and Consumer Services (Total),,2017 Expenses.Interim2016–17,614.0
Infrastructure,Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,Infrastructure, Federal–Provincial Infrastructure Programs,2017 Expenses.Interim2016–17,132.0
Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,Infrastructure (Total),,2017 Expenses.Interim2016–17,325.0
International Trade (Total),,International Trade (Total),,International Trade (Total),,,,2017 Expenses.Interim2016–17,31.0
Municipal Affairs / Housing,"Time-Limited Investments in Municipal, Social and  Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",,,2017 Expenses.Interim2016–17,544.0
Natural Resources and Forestry,Emergency Forest Firefighting,Natural Resources and Forestry, Emergency Forest Firefighting,,,Natural Resources and Forestry, Emergency Forest Firefighting,2017 Expenses.Interim2016–17,109.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Base),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,Natural Resources and Forestry (Total),,2017 Expenses.Interim2016–17,862.0
Seniors Affairs (Total),,Seniors Affairs (Total),,Seniors Affairs (Total),,,,2017 Expenses.Interim2016–17,20.0
Status of Women (Total),,Status of Women (Total),,Status of Women (Total),,,,2017 Expenses.Interim2016–17,23.0
Total Expense,,Total Expense,,Total Expense,,Total Expense,,2017 Expenses.Interim2016–17,134752.0
Transportation,Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,Transportation, Time-Limited Investments in Infrastructure,,,2017 Expenses.Interim2016–17,0.0
Transportation (Total),,Transportation (Total),,Transportation (Total),,Transportation (Total),,2017 Expenses.Interim2016–17,3688.0
Treasury Board Secretariat,Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,Treasury Board Secretariat, Capital Contingency Fund,2017 Expenses.Interim2016–17,0.0
Treasury Board Secretariat,Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,Treasury Board Secretariat, Operating Contingency Fund,2017 Expenses.Interim2016–17,30.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat (Total),,Treasury Board Secretariat (Total),,Treasury Board Secretariat (Base),,Treasury Board Secretariat (Total),,2017 Expenses.Interim2016–17,1433.0
Treasury Board Secretariat,Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,Treasury Board Secretariat, Employee and Pensioner Benefits,Treasury Board Secretariat, Employee and Pensioner Benefits17,2017 Expenses.Interim2016–17,1163.0
Board of Internal Economy1 (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,Board of Internal Economy (Total),,2017 Expenses.Interim2016–17,226.0
Year-End Savings4,,Year-End Savings,,Year-End Savings2,,Year-End Savings,,2017 Expenses.Interim2016–17,0.0
Education,Teachers’ Pension Plan2,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,Education, Teachers’ Pension Plan,2017 Expenses.Interim2016–17,-502.0
Municipal Affairs / Housing,Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,Municipal Affairs/Housing, Time-Limited Investments,Municipal Affairs and Housing, Time-Limited Investments,2017 Expenses.Interim2016–17,7.0
Interest on Debt3,,Interest on Debt18,,Interest on Debt1,,Interest on Debt18,,2017 Expenses.Interim2016–17,11250.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Interim2016–17,1541.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Interim2016–17,1541.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Interim2016–17,1541.0
Municipal Affairs / Housing (Total),,Municipal Affairs and Housing (Total),,Municipal Affairs/Housing (Total),,Municipal Affairs and Housing (Total),,2017 Expenses.Interim2016–17,1541.0
"Tourism, Culture and Sport",Time-Limited Investments to Support 2015 Pan/Parapan  American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,,,2017 Expenses.Interim2016–17,82.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2017 Expenses.Interim2016–17,1074.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Total)5",,2017 Expenses.Interim2016–17,1074.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Interim2016–17,1074.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Interim2016–17,1074.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Interim2016–17,1074.0
"Agriculture, Food and Rural Affairs (Total)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,"Agriculture, Food and Rural Affairs (Base)",,2017 Expenses.Interim2016–17,1074.0
